"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jan 28 21:11:37 UTC 2026","Wed Jan 28 21:11:37 UTC 2026","97","tests","test_api","","","","Проверка списка пользователей",""
"failed","Wed Jan 28 21:11:37 UTC 2026","Wed Jan 28 21:11:37 UTC 2026","0","tests","test_api","","","","Проверка обновление данных о пользователе",""
